환	NNP
호	NNP
현	NNP
행	NNP
핵	NNP
해	NNP
항	NNP
합	NNP
할	NNP
푼	NNP
표	NNP
축	NNP
초	NNP
참	NNP
점	NNP
원	NNP
열	NNP
역	NNP
식	NNP
선	NNP
변	NNP
밑	NNP
몫	NNP
면	NNP
리	NNP
롤	NNP
도	NNP
근	NNP
극	NNP
군	NNP
구	NNP
곱	NNP
값	NNP
각	NNP
후항	NNP
회전	NNP
회로	NNP
활꼴	NNP
환율	NNP
확률	NNP
확대	NNP
홀수	NNP
허점	NNP
허원	NNP
허수	NNP
허근	NNP
행렬	NNP
합동	NNP
함수	NNP
할선	NNP
하한	NNP
하계	NNP
표차	NNP
표집	NNP
표본	NNP
표면	NNP
평행	NNP
평면	NNP
평균	NNP
평각	NNP
편차	NNP
편각	NNP
투영	NNP
통분	NNP
통계	NNP
타원	NNP
코시	NNP
켤레	NNP
치환	NNP
치역	NNP
측정	NNP
측도	NNP
축척	NNP
축소	NNP
축도	NNP
추출	NNP
추정	NNP
최소	NNP
최대	NNP
초점	NNP
초과	NNP
참값	NNP
차원	NNP
차수	NNP
짝수	NNP
집합	NNP
진수	NNP
진동	NNP
직선	NNP
직교	NNP
직각	NNP
지표	NNP
지수	NNP
지름	NNP
증분	NNP
증명	NNP
중점	NNP
중심	NNP
중선	NNP
중근	NNP
준선	NNP
주판	NNP
주치	NNP
주축	NNP
주기	NNP
주값	NNP
좌표	NNP
좌변	NNP
종점	NNP
종속	NNP
조합	NNP
조건	NNP
제수	NNP
제곱	NNP
정점	NNP
정의	NNP
정역	NNP
정수	NNP
접점	NNP
접원	NNP
접선	NNP
점원	NNP
절편	NNP
전항	NNP
전개	NNP
적분	NNP
장축	NNP
작도	NNP
자취	NNP
자리	NNP
입체	NNP
일차	NNP
인수	NNP
이항	NNP
이차	NNP
음수	NNP
유계	NNP
윗변	NNP
위수	NNP
위끝	NNP
원호	NNP
원주	NNP
원점	NNP
원소	NNP
원뿔	NNP
우호	NNP
우변	NNP
우각	NNP
외항	NNP
외접	NNP
외점	NNP
외적	NNP
외심	NNP
외분	NNP
외부	NNP
외각	NNP
올림	NNP
오차	NNP
오심	NNP
오목	NNP
예각	NNP
옆면	NNP
영역	NNP
열호	NNP
열각	NNP
연속	NNP
연산	NNP
연비	NNP
연립	NNP
연금	NNP
역원	NNP
역수	NNP
여각	NNP
엇각	NNP
